episode,total_reward,score_reward,hit_reward,loss_penalty,episode_length,player_score,cpu_score,win_flag,running_average,policy_entropy,loss
1,-20.500000000000007,0,0.5000000000000001,-21.0,2706,0,21,0,-20.500000000000007,,
2,-0.4600000000000075,20.0,0.5400000000000001,-21.0,2783,1,21,0,-19.498000000000005,,
3,-20.520000000000007,0,0.48000000000000015,-21.0,2598,0,21,0,-19.549100000000003,,
4,-20.580000000000005,0,0.4200000000000001,-21.0,2414,0,21,0,-19.600645,,
5,-20.44000000000001,0,0.5600000000000002,-21.0,2907,0,21,0,-19.64261275,,
6,-20.540000000000006,0,0.46000000000000013,-21.0,2547,0,21,0,-19.687482112500003,,
7,-20.34000000000001,0,0.6600000000000003,-21.0,3128,0,21,0,-19.720108006875,,
8,-20.500000000000007,0,0.5000000000000001,-21.0,2666,0,21,0,-19.75910260653125,,
9,-20.520000000000007,0,0.48000000000000015,-21.0,2596,0,21,0,-19.797147476204685,,
10,-0.5400000000000054,20.0,0.46000000000000013,-21.0,2573,1,21,0,-18.83429010239445,,
11,-0.5000000000000053,20.0,0.5000000000000001,-21.0,2735,1,21,0,-17.917575597274727,,
12,-0.44000000000001016,20.0,0.5600000000000002,-21.0,2936,1,21,0,-17.043696817410993,,
13,-20.500000000000007,0,0.5000000000000001,-21.0,2699,0,21,0,-17.216511976540446,,
14,-0.5600000000000058,20.0,0.4400000000000001,-21.0,2519,1,21,0,-16.38368637771342,,
15,-0.5600000000000054,20.0,0.4400000000000001,-21.0,2521,1,21,0,-15.59250205882775,,
16,19.57999999999999,40.0,0.5800000000000002,-21.0,3047,2,21,0,-13.833876955886362,,
17,-20.60000000000001,0,0.4000000000000001,-21.0,2352,0,21,0,-14.172183108092044,,
18,-20.56000000000001,0,0.4400000000000001,-21.0,2468,0,21,0,-14.491573952687443,,
19,-20.540000000000006,0,0.46000000000000013,-21.0,2549,0,21,0,-14.793995255053071,,
20,19.440000000000012,40.0,0.4400000000000001,-21.0,2556,2,21,0,-13.082295492300416,,
21,-20.60000000000001,0,0.4000000000000001,-21.0,2354,0,21,0,-13.458180717685396,,
22,-20.540000000000006,0,0.46000000000000013,-21.0,2477,0,21,0,-13.812271681801127,,
23,-20.500000000000007,0,0.5000000000000001,-21.0,2677,0,21,0,-14.14665809771107,,
24,-20.42000000000001,0,0.5800000000000002,-21.0,3044,0,21,0,-14.460325192825517,,
25,-20.42000000000001,0,0.5800000000000002,-21.0,2957,0,21,0,-14.75830893318424,,
26,-20.60000000000001,0,0.4000000000000001,-21.0,2344,0,21,0,-15.05039348652503,,
27,-0.48000000000000576,20.0,0.5200000000000001,-21.0,2817,1,21,0,-14.321873812198778,,
28,-20.520000000000007,0,0.48000000000000015,-21.0,2710,0,21,0,-14.631780121588838,,
29,19.57999999999999,40.0,0.5800000000000002,-21.0,3079,2,21,0,-12.921191115509396,,
30,-20.42000000000001,0,0.5800000000000002,-21.0,2986,0,21,0,-13.296131559733926,,
31,-20.60000000000001,0,0.4000000000000001,-21.0,2346,0,21,0,-13.66132498174723,,
32,-20.540000000000006,0,0.46000000000000013,-21.0,2553,0,21,0,-14.005258732659868,,
33,-20.580000000000005,0,0.4200000000000001,-21.0,2422,0,21,0,-14.333995796026874,,
34,-20.540000000000006,0,0.46000000000000013,-21.0,2546,0,21,0,-14.644296006225531,,
35,-20.540000000000006,0,0.46000000000000013,-21.0,2526,0,21,0,-14.939081205914254,,
36,-0.46000000000000707,20.0,0.5400000000000001,-21.0,2861,1,21,0,-14.21512714561854,,
37,-0.4400000000000066,20.0,0.5600000000000002,-21.0,2939,1,21,0,-13.526370788337612,,
38,-20.56000000000001,0,0.4400000000000001,-21.0,2486,0,21,0,-13.878052248920731,,
39,-20.520000000000007,0,0.48000000000000015,-21.0,2666,0,21,0,-14.210149636474695,,
40,-20.52000000000001,0,0.48000000000000015,-21.0,2644,0,21,0,-14.525642154650958,,
41,19.519999999999992,40.0,0.5200000000000001,-21.0,2850,2,21,0,-12.82336004691841,,
42,-20.500000000000007,0,0.5000000000000001,-21.0,2706,0,21,0,-13.207192044572489,,
43,19.959999999999987,40.0,0.9600000000000005,-21.0,4157,2,21,0,-11.548832442343864,,
44,-20.40000000000001,0,0.6000000000000002,-21.0,3013,0,21,0,-11.99139082022667,,
45,-20.60000000000001,0,0.4000000000000001,-21.0,2336,0,21,0,-12.421821279215337,,
46,-20.56000000000001,0,0.4400000000000001,-21.0,2470,0,21,0,-12.82873021525457,,
47,-20.48000000000001,0,0.5200000000000001,-21.0,2863,0,21,0,-13.211293704491842,,
48,-20.500000000000007,0,0.5000000000000001,-21.0,2684,0,21,0,-13.57572901926725,,
49,-20.48000000000001,0,0.5200000000000001,-21.0,2738,0,21,0,-13.920942568303888,,
50,-20.38000000000001,0,0.6200000000000002,-21.0,3006,0,21,0,-14.243895439888693,,
51,-20.42000000000001,0,0.5800000000000002,-21.0,2921,0,21,0,-14.552700667894259,,
52,-20.460000000000008,0,0.5400000000000001,-21.0,2766,0,21,0,-14.848065634499545,,
53,-20.460000000000008,0,0.5400000000000001,-21.0,2719,0,21,0,-15.128662352774567,,
54,-20.520000000000007,0,0.48000000000000015,-21.0,2598,0,21,0,-15.398229235135839,,
55,-20.500000000000007,0,0.5000000000000001,-21.0,2690,0,21,0,-15.653317773379046,,
56,-20.480000000000008,0,0.5200000000000001,-21.0,2844,0,21,0,-15.894651884710093,,
57,-20.440000000000012,0,0.5600000000000002,-21.0,2871,0,21,0,-16.12191929047459,,
