Epoch,Episodes,Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11
0,1-200,159,115,8,122,19,107,8,131,17,108,53,183
1,201-400,453,227,29,298,38,368,18,365,49,325,80,382
2,401-600,567,251,18,371,67,430,24,422,54,415,93,398
3,601-800,612,390,14,438,51,454,21,429,53,390,66,294
4,801-1000,616,280,21,404,62,483,13,381,65,480,61,338
5,1001-1200,579,295,22,423,62,474,13,379,21,608,74,409
6,1201-1400,482,93,20,451,52,286,13,352,4,857,59,604
7,1401-1600,558,79,9,447,48,267,13,297,2,864,26,570
8,1601-1800,610,35,12,473,84,224,9,313,13,792,24,588
9,1801-2000,610,53,16,463,71,239,7,302,6,908,12,593
10,2001-2200,652,59,17,508,115,285,8,345,18,983,18,589
11,2201-2400,719,29,8,389,34,200,1,167,1,1176,9,715
12,2401-2600,755,23,10,483,31,196,4,217,2,1168,9,727
13,2601-2800,798,14,4,504,14,146,1,135,0,1266,1,739
14,2801-3000,825,14,4,532,12,126,7,98,0,1278,5,786
15,3001-3200,860,4,5,509,14,98,0,117,0,1371,3,884
16,3201-3400,987,3,1,469,14,65,2,89,0,1359,3,878
17,3401-3600,943,1,4,512,18,64,1,84,0,1435,5,990
18,3601-3800,1025,3,1,434,27,66,0,68,1,1442,0,1006
19,3801-4000,1088,0,2,427,12,45,0,43,0,1511,0,1101
20,4001-4200,1103,1,1,443,9,38,0,49,0,1583,0,1107
21,4201-4400,1211,0,0,368,8,19,0,22,0,1602,0,1146
22,4401-4600,1267,0,0,382,2,26,0,10,0,1612,0,1181
23,4601-4800,1294,0,0,363,1,18,0,13,0,1703,0,1241
24,4801-5000,1288,1,0,324,0,25,0,9,0,1676,1,1272
25,5001-5200,1273,0,0,265,1,7,0,18,0,1676,0,1320
26,5201-5400,1411,0,0,293,1,6,0,10,0,1746,0,1377
27,5401-5600,1495,0,0,265,0,8,0,3,0,1703,0,1371
28,5601-5800,1533,0,0,194,1,17,0,1,0,1741,0,1358
29,5801-6000,1550,0,0,175,0,11,0,1,0,1833,0,1510
30,6001-6200,1586,0,0,139,0,11,0,1,0,1793,0,1511
31,6201-6400,1617,0,0,168,4,18,0,4,0,1809,0,1592
32,6401-6600,1687,0,0,159,4,18,0,4,0,1814,0,1582
33,6601-6800,1705,0,0,153,3,9,0,3,0,1810,0,1616
34,6801-7000,1729,0,0,97,4,11,0,4,0,1931,0,1638
35,7001-7200,1745,0,0,68,1,8,0,1,0,1941,0,1689
36,7201-7400,1820,0,0,78,3,5,0,3,0,1879,0,1692
37,7401-7600,1821,0,0,67,0,7,0,0,0,1872,0,1662
38,7601-7800,1778,0,0,78,2,24,0,3,0,1880,0,1743
39,7801-8000,1833,0,0,75,4,46,0,4,0,1903,0,1797
40,8001-8200,1805,0,0,74,23,38,0,24,0,1912,0,1800
41,8201-8400,1846,0,0,51,18,16,0,18,0,1866,0,1730
42,8401-8600,1839,0,0,61,7,20,0,7,0,1956,0,1827
43,8601-8800,1881,0,0,44,1,11,0,1,0,1939,0,1781
44,8801-9000,1840,0,0,56,3,15,0,3,0,1938,0,1768
45,9001-9200,1817,0,0,52,3,9,0,3,0,1961,0,1806
46,9201-9400,1806,0,0,42,2,7,0,2,0,1884,0,1744
47,9401-9600,1780,0,0,73,9,15,0,9,0,1845,0,1666
48,9601-9800,1808,0,0,152,4,8,0,6,0,1881,0,1721
49,9801-10000,1873,0,0,53,0,4,0,1,0,1919,0,1800
50,10001-10200,1793,0,0,86,14,13,0,15,0,1875,0,1699
51,10201-10400,1812,0,0,88,11,21,0,12,0,1799,0,1716
52,10401-10600,1834,0,0,181,12,17,0,21,0,1818,0,1736
53,10601-10800,1875,0,0,28,21,11,0,21,0,1910,0,1783
54,10801-11000,1855,0,0,44,20,11,0,20,0,1859,0,1746
55,11001-11200,1913,0,0,28,12,11,0,12,0,1954,0,1881
56,11201-11400,1904,0,0,35,15,4,0,15,0,1975,0,1870
57,11401-11600,1887,0,0,55,14,9,0,14,0,2006,0,1912
58,11601-11800,1904,0,0,62,19,5,0,19,0,1918,0,1845
59,11801-12000,1904,0,0,51,19,19,0,19,0,1993,0,1913
60,12001-12200,1918,0,0,40,13,15,0,13,0,1936,0,1839
61,12201-12400,1924,0,0,33,17,24,0,17,0,1942,0,1801
62,12401-12600,1833,0,0,48,13,33,0,13,0,1964,0,1882
63,12601-12800,1856,1,0,89,14,28,0,14,0,1935,0,1811
64,12801-13000,1886,0,0,61,13,1,0,13,0,1982,0,1882
65,13001-13200,1829,0,0,57,11,2,0,12,0,2023,0,1949
66,13201-13400,1937,0,0,49,15,8,0,15,0,1974,0,1851
67,13401-13600,1846,0,0,46,9,3,0,9,0,1981,0,1920
68,13601-13800,1822,0,0,52,19,15,0,19,0,2023,0,1948
69,13801-14000,1813,0,0,54,14,2,0,14,0,2055,0,1963
70,14001-14200,1858,0,0,29,11,0,0,11,0,2044,0,1934
71,14201-14400,1812,0,0,77,5,0,0,6,0,2040,0,1952
72,14401-14600,1841,0,0,41,10,2,0,10,0,1913,0,1828
73,14601-14800,1890,0,0,58,16,1,0,16,0,1960,0,1875
74,14801-15000,1895,0,0,25,26,0,0,26,0,2007,0,1905
75,15001-15200,1940,0,0,22,15,3,0,15,0,1967,0,1888
76,15201-15400,1955,0,0,13,19,1,0,19,0,1994,0,1913
77,15401-15600,1868,0,0,50,11,1,0,11,0,2037,0,1957
78,15601-15800,1831,0,0,24,7,2,0,7,0,2067,0,1999
79,15801-16000,1920,0,0,39,19,4,0,19,0,1987,0,1907
80,16001-16200,1892,0,0,30,23,2,0,23,0,1986,0,1910
81,16201-16400,1954,0,0,44,23,2,0,23,0,1952,0,1856
82,16401-16600,1991,0,0,25,9,1,0,9,0,1989,0,1908
83,16601-16800,1961,0,0,17,11,1,0,11,0,1977,0,1910
84,16801-17000,1951,0,0,30,12,2,0,12,0,1921,0,1851
85,17001-17200,1996,0,0,43,15,0,0,15,0,1966,0,1898
86,17201-17400,1973,0,0,30,13,3,0,13,0,1957,0,1905
87,17401-17600,1929,0,0,46,9,9,0,9,0,1999,0,1944
88,17601-17800,1887,0,0,43,12,20,0,12,0,1943,0,1851
89,17801-18000,1859,3,0,44,13,30,0,13,0,1947,0,1833
90,18001-18200,1901,0,0,48,7,3,0,7,0,2028,0,1957
91,18201-18400,1970,0,0,69,24,0,0,24,0,1918,0,1809
92,18401-18600,1942,0,0,72,13,0,0,13,0,1965,0,1887
93,18601-18800,1909,1,0,58,16,2,0,16,0,2029,0,1924
94,18801-19000,1998,0,0,35,19,0,0,19,0,1960,0,1869
95,19001-19200,2017,0,0,40,12,1,0,12,0,1950,0,1874
96,19201-19400,2029,0,0,15,22,0,0,22,0,1956,0,1893
97,19401-19600,1953,0,0,8,18,1,0,18,0,2031,0,1954
98,19601-19800,1950,0,0,17,23,0,0,23,0,1987,0,1913
99,19801-20000,1890,0,0,48,26,1,0,26,0,2019,0,1941
TOTAL,1-20000,158138,1975,226,15805,1720,5442,163,5741,306,171860,602,153910
