episode,total_reward,score_reward,hit_reward,loss_penalty,episode_length,player_score,cpu_score,win_flag,running_average,policy_entropy,loss
1,-20.540000000000006,0,0.46000000000000013,-21.0,2556,0,21,0,-20.540000000000006,,
2,-20.60000000000001,0,0.4000000000000001,-21.0,2346,0,21,0,-20.543000000000006,,
3,-0.5200000000000085,20.0,0.48000000000000015,-21.0,2662,1,21,0,-19.541850000000004,,
4,-20.580000000000005,0,0.4200000000000001,-21.0,2408,0,21,0,-19.593757500000002,,
5,-20.580000000000005,0,0.4200000000000001,-21.0,2410,0,21,0,-19.643069625000003,,
6,-20.580000000000005,0,0.4200000000000001,-21.0,2412,0,21,0,-19.68991614375,,
7,-20.60000000000001,0,0.4000000000000001,-21.0,2344,0,21,0,-19.735420336562502,,
8,-20.60000000000001,0,0.4000000000000001,-21.0,2350,0,21,0,-19.778649319734377,,
9,-20.60000000000001,0,0.4000000000000001,-21.0,2346,0,21,0,-19.819716853747657,,
10,-20.60000000000001,0,0.4000000000000001,-21.0,2336,0,21,0,-19.858731011060275,,
11,-20.580000000000005,0,0.4200000000000001,-21.0,2414,0,21,0,-19.89479446050726,,
12,-20.60000000000001,0,0.4000000000000001,-21.0,2352,0,21,0,-19.930054737481896,,
13,-20.580000000000005,0,0.4200000000000001,-21.0,2420,0,21,0,-19.9625520006078,,
14,-20.580000000000005,0,0.4200000000000001,-21.0,2420,0,21,0,-19.99342440057741,,
15,-20.580000000000005,0,0.4200000000000001,-21.0,2414,0,21,0,-20.022753180548538,,
16,-20.60000000000001,0,0.4000000000000001,-21.0,2352,0,21,0,-20.05161552152111,,
17,-20.60000000000001,0,0.4000000000000001,-21.0,2342,0,21,0,-20.079034745445057,,
18,-20.580000000000005,0,0.4200000000000001,-21.0,2420,0,21,0,-20.104083008172804,,
19,-0.5600000000000058,20.0,0.4400000000000001,-21.0,2454,1,21,0,-19.12687885776416,,
20,-20.580000000000005,0,0.4200000000000001,-21.0,2412,0,21,0,-19.19953491487595,,
21,-20.540000000000006,0,0.46000000000000013,-21.0,2542,0,21,0,-19.266558169132153,,
22,-20.580000000000005,0,0.4200000000000001,-21.0,2412,0,21,0,-19.332230260675544,,
23,-20.580000000000005,0,0.4200000000000001,-21.0,2424,0,21,0,-19.394618747641765,,
24,-20.580000000000005,0,0.4200000000000001,-21.0,2414,0,21,0,-19.453887810259676,,
25,-20.580000000000005,0,0.4200000000000001,-21.0,2412,0,21,0,-19.51019341974669,,
26,-20.60000000000001,0,0.4000000000000001,-21.0,2348,0,21,0,-19.564683748759357,,
27,-20.560000000000006,0,0.4400000000000001,-21.0,2495,0,21,0,-19.614449561321386,,
28,-20.520000000000007,0,0.48000000000000015,-21.0,2600,0,21,0,-19.659727083255316,,
29,-20.540000000000006,0,0.46000000000000013,-21.0,2542,0,21,0,-19.70374072909255,,
30,-20.480000000000008,0,0.5200000000000001,-21.0,2828,0,21,0,-19.742553692637923,,
31,-20.580000000000005,0,0.4200000000000001,-21.0,2412,0,21,0,-19.784426008006026,,
32,-0.5800000000000054,20.0,0.4200000000000001,-21.0,2449,1,21,0,-18.824204707605723,,
33,-20.400000000000013,0,0.6000000000000002,-21.0,2999,0,21,0,-18.902994472225437,,
34,-0.5600000000000076,20.0,0.4400000000000001,-21.0,2519,1,21,0,-17.985844748614163,,
35,-20.56000000000001,0,0.4400000000000001,-21.0,2492,0,21,0,-18.114552511183454,,
36,-20.52000000000001,0,0.48000000000000015,-21.0,2618,0,21,0,-18.23482488562428,,
37,-20.44000000000001,0,0.5600000000000002,-21.0,2818,0,21,0,-18.34508364134307,,
38,-20.580000000000005,0,0.4200000000000001,-21.0,2418,0,21,0,-18.456829459275916,,
39,-0.5600000000000058,20.0,0.4400000000000001,-21.0,2519,1,21,0,-17.56198798631212,,
40,-20.460000000000008,0,0.5400000000000001,-21.0,2826,0,21,0,-17.706888586996513,,
41,-0.3400000000000065,20.0,0.6600000000000003,-21.0,3156,1,21,0,-16.838544157646687,,
42,-20.60000000000001,0,0.4000000000000001,-21.0,2342,0,21,0,-17.026616949764353,,
