Epoch,Episodes,Total_Hits,Top_Edge,Center,Bottom_Edge,Edge_Hits,Edge_Percent,Avg_Angle
0,1-200,772,205,300,267,472,61.1,45.5
1,201-400,2230,607,931,692,1299,58.3,43.4
2,401-600,2735,804,1160,771,1575,57.6,42.9
3,601-800,2930,686,1332,912,1598,54.5,41.4
4,801-1000,3171,871,1354,946,1817,57.3,42.5
5,1001-1200,3231,798,1364,1069,1867,57.8,42.3
6,1201-1400,3106,661,1261,1184,1845,59.4,43.4
7,1401-1600,3230,633,1248,1349,1982,61.4,43.5
8,1601-1800,3258,652,1191,1415,2067,63.4,44.8
9,1801-2000,3486,550,1219,1717,2267,65.0,45.1
10,2001-2200,3419,585,1091,1743,2328,68.1,46.4
11,2201-2400,3455,623,1040,1792,2415,69.9,46.9
12,2401-2600,3334,697,929,1708,2405,72.1,48.1
13,2601-2800,3488,670,957,1861,2531,72.6,48.6
14,2801-3000,3521,645,962,1914,2559,72.7,48.4
15,3001-3200,3459,567,888,2004,2571,74.3,48.7
16,3201-3400,3563,664,894,2005,2669,74.9,49.2
17,3401-3600,3680,734,855,2091,2825,76.8,50.6
18,3601-3800,3663,735,875,2053,2788,76.1,50.4
19,3801-4000,3688,782,738,2168,2950,80.0,51.8
20,4001-4200,3758,811,716,2231,3042,80.9,52.4
21,4201-4400,3714,800,727,2187,2987,80.4,52.2
22,4401-4600,3846,814,734,2298,3112,80.9,52.3
23,4601-4800,3960,936,652,2372,3308,83.5,54.0
24,4801-5000,3924,925,557,2442,3367,85.8,54.6
25,5001-5200,4031,972,508,2551,3523,87.4,55.4
26,5201-5400,4055,1072,483,2500,3572,88.1,56.1
27,5401-5600,4039,1101,427,2511,3612,89.4,56.8
28,5601-5800,4250,1105,456,2689,3794,89.3,56.6
29,5801-6000,4186,1085,442,2659,3744,89.4,56.7
30,6001-6200,4325,1129,415,2781,3910,90.4,57.1
31,6201-6400,4337,1195,374,2768,3963,91.4,57.6
32,6401-6600,4464,1198,334,2932,4130,92.5,58.0
33,6601-6800,4442,1221,324,2897,4118,92.7,58.2
34,6801-7000,4605,1300,343,2962,4262,92.6,58.3
35,7001-7200,4504,1345,405,2754,4099,91.0,58.1
36,7201-7400,4654,1367,355,2932,4299,92.4,58.6
37,7401-7600,4678,1281,375,3022,4303,92.0,58.1
38,7601-7800,4551,1284,302,2965,4249,93.4,58.8
39,7801-8000,4851,1330,374,3147,4477,92.3,58.3
40,8001-8200,4900,1340,347,3213,4553,92.9,58.7
41,8201-8400,4919,1408,349,3162,4570,92.9,58.9
42,8401-8600,5171,1498,307,3366,4864,94.1,59.3
43,8601-8800,5135,1522,228,3385,4907,95.6,60.0
44,8801-9000,5287,1614,290,3383,4997,94.5,59.8
45,9001-9200,5373,1602,230,3541,5143,95.7,60.2
46,9201-9400,5430,1670,180,3580,5250,96.7,60.6
47,9401-9600,5454,1657,196,3601,5258,96.4,60.4
48,9601-9800,5317,1617,147,3553,5170,97.2,60.7
49,9801-10000,5324,1596,202,3526,5122,96.2,60.2
50,10001-10200,5486,1596,194,3696,5292,96.5,60.3
51,10201-10400,5406,1663,163,3580,5243,97.0,60.8
52,10401-10600,5499,1666,150,3683,5349,97.3,60.9
53,10601-10800,5480,1729,165,3586,5315,97.0,61.0
54,10801-11000,5436,1718,112,3606,5324,97.9,61.4
55,11001-11200,5436,1789,104,3543,5332,98.1,61.7
56,11201-11400,5605,1793,129,3683,5476,97.7,61.3
57,11401-11600,5644,1734,140,3770,5504,97.5,61.1
58,11601-11800,5572,1723,186,3663,5386,96.7,60.8
59,11801-12000,5621,1718,147,3756,5474,97.4,61.0
60,12001-12200,5556,1791,125,3640,5431,97.8,61.4
61,12201-12400,5561,1798,118,3645,5443,97.9,61.4
62,12401-12600,5533,1827,127,3579,5406,97.7,61.6
63,12601-12800,5602,1826,115,3661,5487,97.9,61.6
64,12801-13000,5723,1913,83,3727,5640,98.5,61.9
65,13001-13200,5671,1843,128,3700,5543,97.7,61.5
66,13201-13400,5879,1827,127,3925,5752,97.8,61.4
67,13401-13600,5829,1807,57,3965,5772,99.0,61.8
68,13601-13800,5777,1790,143,3844,5634,97.5,61.2
69,13801-14000,5731,1859,99,3773,5632,98.3,61.7
70,14001-14200,5547,1838,122,3587,5425,97.8,61.7
71,14201-14400,5653,1736,93,3824,5560,98.4,61.5
72,14401-14600,5583,1650,168,3765,5415,97.0,60.8
73,14601-14800,5673,1780,154,3739,5519,97.3,61.2
74,14801-15000,5714,1792,156,3766,5558,97.3,61.2
75,15001-15200,5809,1864,102,3843,5707,98.2,61.6
76,15201-15400,5787,1740,80,3967,5707,98.6,61.5
77,15401-15600,5812,1920,99,3793,5713,98.3,61.8
78,15601-15800,5890,1970,81,3839,5809,98.6,62.0
79,15801-16000,5987,1897,102,3988,5885,98.3,61.6
80,16001-16200,5965,1860,110,3995,5855,98.2,61.5
81,16201-16400,5899,1868,116,3915,5783,98.0,61.5
82,16401-16600,5940,1869,136,3935,5804,97.7,61.4
83,16601-16800,5913,1854,128,3931,5785,97.8,61.4
84,16801-17000,5675,1825,103,3747,5572,98.2,61.6
85,17001-17200,5758,1873,162,3723,5596,97.2,61.3
86,17201-17400,5958,1834,77,4047,5881,98.7,61.6
87,17401-17600,5966,1846,118,4002,5848,98.0,61.4
88,17601-17800,5931,1864,69,3998,5862,98.8,61.8
89,17801-18000,5851,1900,98,3853,5753,98.3,61.8
90,18001-18200,5957,1916,103,3938,5854,98.3,61.7
91,18201-18400,5746,2043,56,3647,5690,99.0,62.5
92,18401-18600,5918,1913,53,3952,5865,99.1,62.1
93,18601-18800,5910,1904,91,3915,5819,98.5,61.7
94,18801-19000,5937,1923,85,3929,5852,98.6,61.9
95,19001-19200,5789,1852,175,3762,5614,97.0,61.2
96,19201-19400,5827,1946,122,3759,5705,97.9,61.5
97,19401-19600,5976,1917,155,3904,5821,97.4,61.4
98,19601-19800,5920,1866,97,3957,5823,98.4,61.7
99,19801-20000,5830,1915,97,3818,5733,98.3,61.8
TOTAL,1-20000,488071,142349,38288,307434,449783,92.2,58.5
