Epoch,Episodes,Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11
91,18201-18400,2043,0,0,52,0,4,0,0,0,1833,0,1814
92,18401-18600,1913,0,0,49,2,0,0,2,0,1994,0,1958
93,18601-18800,1904,0,0,87,0,4,0,0,0,2003,0,1912
94,18801-19000,1923,0,0,85,0,0,0,0,0,1987,0,1942
95,19001-19200,1852,0,0,173,0,2,0,0,0,1907,0,1855
96,19201-19400,1946,0,0,87,6,21,0,7,1,1952,0,1807
97,19401-19600,1917,0,0,124,3,25,0,3,0,1966,0,1938
98,19601-19800,1866,0,0,67,0,30,0,0,0,1978,0,1979
99,19801-20000,1915,0,0,75,2,18,0,2,0,1938,0,1880
TOTAL,1-20000,140198,2091,150,24039,714,6634,115,6514,277,162165,1161,144299
